target,numReplicas,numThreads,numOps,readsRatio,distribution,throughput,writeLatency, readLatency
wgla,3,2,1000,0.5,-1.0,2339.00,3.71,4.82
wgla,3,2,1000,0.5,-1.0,2126.25,3.87,5.52
wgla,3,2,1000,0.5,-1.0,2315.25,3.74,4.88
wgla,3,2,1000,0.5,-1.0,2348.00,3.68,4.84
wgla,3,2,1000,0.5,-1.0,2333.50,3.74,4.82
wgla,3,5,1000,0.5,-1.0,5468.75,3.95,5.19
wgla,3,5,1000,0.5,-1.0,5498.75,3.94,5.13
wgla,3,5,1000,0.5,-1.0,5486.00,3.91,5.20
wgla,3,5,1000,0.5,-1.0,5427.25,4.00,5.17
wgla,3,5,1000,0.5,-1.0,5498.75,3.94,5.19
wgla,3,10,1000,0.5,-1.0,10105.75,4.37,5.52
wgla,3,10,1000,0.5,-1.0,10264.50,4.27,5.47
wgla,3,10,1000,0.5,-1.0,10024.50,4.43,5.54
wgla,3,10,1000,0.5,-1.0,10066.50,4.41,5.53
wgla,3,20,1000,0.5,-1.0,16498.25,5.40,6.71
wgla,3,20,1000,0.5,-1.0,16117.00,5.56,6.85
wgla,3,20,1000,0.5,-1.0,15791.50,5.63,7.04
wgla,3,20,1000,0.5,-1.0,15484.75,5.70,7.21
wgla,3,20,1000,0.5,-1.0,15856.50,5.65,6.95
wgla,3,30,1000,0.5,-1.0,19808.25,6.82, 8.33
wgla,3,30,1000,0.5,-1.0,21996.50,5.98, 7.66
wgla,3,30,1000,0.5,-1.0,22361.25,5.89, 7.52
wgla,3,30,1000,0.5,-1.0,21821.50,6.00, 7.77
wgla,3,30,1000,0.5,-1.0,22055.75,5.93, 7.68
wgla,3,30,1000,0.5,-1.0,21450.50,6.18, 7.81
wgla,3,40,1000,0.5,-1.0,25779.25,6.75, 8.77
wgla,3,40,1000,0.5,-1.0,25696.75,6.87, 8.73
wgla,3,40,1000,0.5,-1.0,25126.25,6.97, 9.00
wgla,3,40,1000,0.5,-1.0,25496.00,6.90, 8.82
wgla,3,40,1000,0.5,-1.0,25098.50,6.96, 8.99
wgla,3,50,1000,0.5,-1.0,28423.50,7.62, 10.00
wgla,3,50,1000,0.5,-1.0,27956.50,7.77, 10.13
wgla,3,50,1000,0.5,-1.0,28889.50,7.55, 9.80
wgla,3,50,1000,0.5,-1.0,29313.00,7.37, 9.74
wgla,3,50,1000,0.5,-1.0,27606.00,7.95, 10.22
wgla,3,70,1000,0.5,-1.0,32434.50,9.36, 12.25
wgla,3,70,1000,0.5,-1.0,33225.50,9.16, 11.98
wgla,3,70,1000,0.5,-1.0,32993.00,9.15, 12.09
wgla,3,70,1000,0.5,-1.0,31900.00,9.49, 12.51
wgla,3,70,1000,0.5,-1.0,32883.25,9.23, 12.13
wgla,3,70,1000,0.5,-1.0,32835.75,9.14, 12.18
wgla,3,100,1000,0.5,-1.0,36816.25,11.65, 15.63
wgla,3,100,1000,0.5,-1.0,35346.75,12.09, 16.23
wgla,3,100,1000,0.5,-1.0,37796.75,11.40, 15.24
wgla,3,100,1000,0.5,-1.0,37419.75,11.45, 15.47
wgla,3,130,1000,0.5,-1.0,39671.75,13.99, 19.17
wgla,3,130,1000,0.5,-1.0,40942.25,13.46, 18.46
wgla,3,130,1000,0.5,-1.0,42718.00,12.78, 17.78
wgla,3,130,1000,0.5,-1.0,39602.75,13.99, 19.17
wgla,3,130,1000,0.5,-1.0,40985.50,13.38, 18.52
wgla,3,130,1000,0.5,-1.0,41748.25,13.18, 18.04
wgla,3,130,1000,0.5,-1.0,41245.75,13.34, 18.28
wgla,3,150,1000,0.5,-1.0,42790.50,14.74, 20.35
wgla,3,150,1000,0.5,-1.0,41140.50,15.26, 21.23
wgla,3,150,1000,0.5,-1.0,42488.50,14.76, 20.72
wgla,3,150,1000,0.5,-1.0,41485.25,15.15, 21.08
wgla,3,170,1000,0.5,-1.0,43246.75,16.61, 23.03
wgla,3,170,1000,0.5,-1.0,41365.75,17.37, 23.90
wgla,3,170,1000,0.5,-1.0,43048.00,16.61, 23.27
wgla,3,170,1000,0.5,-1.0,41373.00,17.32, 24.10
wgla,3,200,1000,0.5,-1.0,42590.75,20.24, 26.92
wgla,3,230,1000,0.5,-1.0,43929.50,23.08, 29.50
wgla,3,230,1000,0.5,-1.0,41000.00,24.87, 31.48
wgla,3,230,1000,0.5,-1.0,42409.00,24.18, 30.36
wgla,3,230,1000,0.5,-1.0,45663.75,21.98, 28.86
wgla,3,250,1000,0.5,-1.0,38080.00,29.56, 36.51
wgla,3,250,1000,0.5,-1.0,43534.50,25.51, 32.11
wgla,3,250,1000,0.5,-1.0,44918.75,24.80, 31.33
wgla,3,250,1000,0.5,-1.0,41894.00,26.62, 33.33
wgla,3,280,1000,0.5,-1.0,43256.25,29.53, 36.00
wgla,3,280,1000,0.5,-1.0,43567.25,29.99, 36.42
wgla,3,280,1000,0.5,-1.0,40514.50,32.16, 39.17
wgla,3,280,1000,0.5,-1.0,40582.25,31.41, 38.13
wgla,3,280,1000,0.5,-1.0,13444.75,94.29, 125.52
